timestamp,key_dwell,mouse_x,mouse_y,scroll_dx,scroll_dy,idle_seconds,event_type
2026-02-25 00:56:34.038094,0,1380,219,0,0,0.00699925422668457,move
2026-02-25 00:56:34.045056,0,1334,180,0,0,0.00696253776550293,move
2026-02-25 00:56:34.052060,0,1296,152,0,0,0.007004261016845703,move
2026-02-25 00:56:34.058061,0,1267,135,0,0,0.0060002803802490234,move
2026-02-25 00:56:34.065355,0,1241,122,0,0,0.0062944889068603516,move
2026-02-25 00:56:34.072716,0,1228,116,0,0,0.007360935211181641,move
2026-02-25 00:56:34.078991,0,1218,112,0,0,0.0062749385833740234,move
2026-02-25 00:56:34.086423,0,1209,110,0,0,0.007431983947753906,move
2026-02-25 00:56:34.092766,0,1204,108,0,0,0.006342649459838867,move
2026-02-25 00:56:34.099765,0,1203,108,0,0,0.006998777389526367,move
2026-02-25 00:56:34.346479,0,1158,92,0,0,0.24671435356140137,move
2026-02-25 00:56:34.352478,0,1075,58,0,0,0.005999088287353516,move
2026-02-25 00:56:34.360480,0,970,19,0,0,0.008002042770385742,move
2026-02-25 00:56:34.366839,0,872,-23,0,0,0.0063588619232177734,move
2026-02-25 00:56:34.373840,0,774,-38,0,0,0.00700068473815918,move
2026-02-25 00:56:34.380536,0,683,-41,0,0,0.006696462631225586,move
2026-02-25 00:56:34.387542,0,596,-38,0,0,0.0070056915283203125,move
2026-02-25 00:56:34.394556,0,513,-40,0,0,0.007014751434326172,move
2026-02-25 00:56:34.401036,0,444,-31,0,0,0.006479740142822266,move
2026-02-25 00:56:34.408039,0,387,-23,0,0,0.007002592086791992,move
2026-02-25 00:56:34.415039,0,341,-17,0,0,0.006999969482421875,move
2026-02-25 00:56:34.421736,0,306,-15,0,0,0.006697654724121094,move
2026-02-25 00:56:34.428360,0,279,-10,0,0,0.006623744964599609,move
2026-02-25 00:56:34.435360,0,264,-4,0,0,0.0070002079010009766,move
2026-02-25 00:56:34.442360,0,251,-3,0,0,0.006999969482421875,move
2026-02-25 00:56:34.448632,0,243,-3,0,0,0.0062716007232666016,move
2026-02-25 00:56:34.455637,0,238,-1,0,0,0.007004499435424805,move
2026-02-25 00:56:34.462637,0,236,0,0,0,0.007000446319580078,move
2026-02-25 00:56:34.468638,0,235,0,0,0,0.0060007572174072266,move
2026-02-25 00:56:34.737603,0,232,0,0,0,0.2689652442932129,move
2026-02-25 00:56:34.744599,0,230,0,0,0,0.0069959163665771484,move
2026-02-25 00:56:34.751081,0,230,0,0,0,0.006482362747192383,click
2026-02-25 00:56:35.168940,0,249,33,0,0,0.4178590774536133,move
2026-02-25 00:56:35.175940,0,271,83,0,0,0.0069997310638427734,move
2026-02-25 00:56:35.182995,0,304,152,0,0,0.0070552825927734375,move
2026-02-25 00:56:35.189940,0,345,236,0,0,0.006944894790649414,move
2026-02-25 00:56:35.196942,0,382,323,0,0,0.007001399993896484,move
2026-02-25 00:56:35.203016,0,430,418,0,0,0.006073951721191406,move
2026-02-25 00:56:35.210022,0,477,509,0,0,0.007006406784057617,move
2026-02-25 00:56:35.217021,0,523,583,0,0,0.006998777389526367,move
2026-02-25 00:56:35.224216,0,556,656,0,0,0.007195234298706055,move
2026-02-25 00:56:35.230697,0,587,711,0,0,0.00648045539855957,move
2026-02-25 00:56:35.237695,0,611,748,0,0,0.006998777389526367,move
2026-02-25 00:56:35.244716,0,630,777,0,0,0.007020711898803711,move
2026-02-25 00:56:35.251717,0,644,806,0,0,0.007001161575317383,move
2026-02-25 00:56:35.257701,0,654,827,0,0,0.005983829498291016,move
2026-02-25 00:56:35.264215,0,657,835,0,0,0.0065135955810546875,move
2026-02-25 00:56:35.498697,0,671,847,0,0,0.2344822883605957,move
2026-02-25 00:56:35.505702,0,685,856,0,0,0.007005453109741211,move
2026-02-25 00:56:35.512703,0,703,870,0,0,0.007000446319580078,move
